457,GREVILEA
458,MOGNO
459,TAMBU
460,SERINGUEIRA
461,JAIBA
462,JUATUBA
463,PINTO MARTINS
464,BARAO DE SABARA
465,CONDE DE LUMINARES
466,MONSENHOR PAULO
467,HILARINO BENEDITO MALTA
468,THEOFILO VIEIRA
469,ONZE DE ABRIL
470,ONZE DE AGOSTO
471,BARAO HOMEM DE MELO
472,PROFESSOR DOMINGOS GANDRA
473,PROFESSOR TAVARES PAES
474,PROFESSOR ARTHUR VELLOSO
475,SANTOS
476,TEOFILO FILHO
477,EST DO CERCADINHO
478,JARDIM AMERICA
479,CORCOVADO
480,TIBIRICA
481,CURITIBANOS
482,CONSELHEIRO JOAQUIM CAETANO
483,PARAOQUENA
484,MARACAJU
485,JABOTICABAL
486,PEPERI
487,BEC ALICE
488,SAUL
489,MUNIZ
490,VIRGINOPOLIS
491,HELIOTERIO
492,GUSTAVO CANDIDO DE SOUZA
493,DOZE DE MAIO
494,ONZE DE NOVEMBRO
495,DEZENOVE DE DEZEMBRO
496,TREZE DE SETEMBRO
497,ONZE DE SETEMBRO
498,QUATRO DE JULHO
499,ONZE DE DEZEMBRO
500,QUATRO DE MAIO
501,DO ENSINO
502,EFIGENIA MIRANDA SCHETTINO
503,ELISEU RESENDE
504,ITAMAR TEIXEIRA
505,OTALIA BEATRIZ
506,CAPITAO FARIA
507,SEIS
508,AMUR
509,MECA
510,ALAIR PEREIRA DE MELLO
511,A QUATRO
512,TRES
513,SENADOR LUCIO BITENCOURT
514,PADRE FLAVIO
515,TERESA CRISTINA
516,POHLIG HECKEL
517,DEMIZA
518,DO FELICISSIMO
519,AMANDA
520,CAMPOS SALES
521,JOSE DE ALENCAR
522,BATES DO BRASIL
523,MAL.CASTELO BRANCO
524,LUMINOSA
525,ITATIBA
526,JABOATAO
527,GLORIOSA
528,CARLOS SCHETTINO
529,MIGUEL MOYSES
530,MIGUEL GENTIL
531,NICIAS CONTINENTINO
532,JOSUE MENEZES
533,DOM OSCAR ROMERO
534,CAVIANA
535,CAPIBERIBE
536,GUARATAN
537,SALVADOR PILO
538,PLATINA
539,SILVA LOBO
540,NILO ANTONIO GAZIRE
541,PAULO PIEDADE CAMPOS
542,PROFESSOR MARIO WERNECK
543,MARIA HEILBUTH SURETTE
544,ELI SEABRA FILHO
545,HENRIQUE BADARO PORTUGAL
546,JOSE RODRIGUES PEREIRA
547,ENGENHEIRO CARLOS GOULART
548,PAULO ARBEX
549,JOSE JORGE FONTE BOA
550,MARIA BEATRIZ
551,CINQUENTENARIO
552,BENJAMIN FLORES
553,JORNALISTA JOAO BOSCO
554,CARDEAL ARCO VERDE
555,JOAO PIRES
556,FRANCISCA CANDIDA
557,CANDIDO DE SOUZA
558,CIPRIANO DE CARVALHO
559,CAMANDUCAIA
560,CONSELHEIRO CARNEIRO DE CAMPOS
561,MAGI SALOMON
562,GARRET
563,VIAMAO
564,CAMPOS ELISEOS
565,SANTA CRUZ
566,IRIDIO
567,PILAR
568,BARBOSA DE REZENDE
569,MEM DE SA
570,LUDGERO DOLABELA
571,ALVARES CABRAL
572,CARLOS CHAGAS
573,JOAO PINHEIRO
574,DA LIBERDADE
575,CRISTOVAO COLOMBO
576,GRAO MOGOL
577,DO URUGUAI
578,ROTARY CLUB
579,DOS BANDEIRANTES
580,DEPUTADO RENATO AZEREDO
581,ENGENHEIRO CAETANO LOPES
582,NOVA ERA
583,PROFESSOR MELLO CANCADO
584,SANTOS BARRETO
585,GENERAL DIONISIO CERQUEIRA
586,GENERAL ANDRADE NEVES
587,PEDRO SIGAUD
588,FREDERICO NOGUEIRA
589,CATETE
590,CONTRIA
591,CANDIDO NOGUEIRA
592,HENRIQUE BURNIER
593,XAPURI
594,AFONSO ARINOS
595,ZURICK
596,DIABASE
597,DOS PAMPAS
598,JOAO LUCIO BRANDAO
599,RIO GRANDE DO SUL
600,DOS GUAJAJARAS
601,SANTA CATARINA
602,RIO GRANDE DO NORTE
603,HENRIQUE PASSINI
604,ANGUSTURA
605,SERRANOS
606,TRIFANA
607,ITUIUTABA
608,PARAGUACU
609,JUSCELINO BARBOSA
610,PAULO SIGAUD
611,FAUSTO ALVIM
612,GENEBRA
613,SAO LOURENCO
614,PERNAMBUCO
615,CARANDAI
616,PARAGUASSU
617,UBARI
618,MARIA MACEDO
619,TURQUESA
620,MARANGUAPE
621,CUIABA
622,SELENIO
623,ATENAS
624,TRES CORACOES
625,MONSENHOR HORTA
626,DOUTOR CARLOS MARQUES
627,OESTE
628,CONSELHEIRO DANTAS
629,CARLOS VILLANI
630,CHOPIN
631,TURFA
632,PASSA TEMPO
633,FRANCISCO DESLANDES
634,MARINO MENDES CAMPOS
635,MONTES CLAROS
636,TURMALINA
637,BRUMADINHO
638,JOAO DA CUNHA
639,GONCALVES DIAS
640,ROD BR TREZENTOS E CINQUENTA E SEIS
641,ROD STAEL MARY BICALHO MOTTA MAGALHAES
642,TRE DO BIOCOR
643,MINISTRO OROZIMBO NONATO
644,ALA MILTON CAMPOS
645,ALA DA SERRA
646,ALA DA PAISAGEM
647,LUIZ PAULO FRANCO
648,PAULO CAMILO PENA
649,CELSO PORFIRIO MACHADO
650,DO CAMPO
651,DO VALE
652,DA VEREDA
653,CORONEL FREIRE FARIA
654,DO SERTAO
655,FRANKLIN FIGUEIREDO
656,CAMAPUAN
657,FRANCISCO SA
658,TOMPSON FLORES
659,ITAPARICA
660,HERVAL
661,MONTE SIAO
662,CHEFE PEREIRA
663,CICERO FERREIRA
664,BERNARDO GUIMARAES
665,MATIAS CARDOSO
666,JUIZ DE FORA
667,DOM LARA
668,SENADOR LEMOS
669,PARACAIMA
670,CONSELHEIRO CIPRIANO SOARES
671,MAQUINE
672,PORUINA
673,MONTE SIMPLON
674,BETA
675,ACUCENAS
